faq_id,question_keywords,user_question,short_answer,full_chatbot_answer,follow_up_prompt,topic,source_url
F001,plastics only; what does plastics only mean; what can go in this bin; accepted items; what this bin accepts,What does plastics-only mean?,Only eligible plastic items belong in this bin.,"Plastics-only means this bin is not a general recycling bin. Only eligible plastic items that are empty, clean and dry should go in. Paper, metal, glass, food waste, liquids, tissue, e-waste, textiles and styrofoam should stay out.","Ask me about a specific item, e.g. 'Can I recycle a green tea bottle?'",General rules,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F002,green tea bottle; tea bottle; can I recycle drink bottle; plastic drink bottle,Can I recycle my green tea bottle?,"Yes, if it is a plastic bottle and it is empty, clean and dry.","Yes. A plastic green tea bottle can go into the plastics-only bin if it is empty, clean and dry. Empty leftover tea, give it a quick rinse if sticky, let it dry, and put the plastic cap back on.","If your bottle has a BCRS Deposit Mark, return it to a Return Right RVM if you want the 10¢ refund.",Plastic bottles,https://www.nea.gov.sg/our-services/waste-management/beverage-container-return-scheme/for-consumers
F003,why clean dry; why empty clean dry; why rinse; food liquid contamination; contamination,"Why must items be empty, clean and dry?",Food and liquids contaminate recycling.,"Food and liquids can contaminate otherwise recyclable items. Once recyclables are contaminated, they may have to be treated like general waste instead. That is why this bin uses the simple check: plastic, empty, clean and dry.","If the item needs too much washing, general waste is usually better.",Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F004,do I need to rinse; must rinse; wash recyclables; how clean is clean,Do I need to rinse plastic items?,Rinse only if there is food or liquid residue.,"If the plastic item is already empty and reasonably clean, it may not need a full wash. If there is drink, sauce, oil, food, or sticky residue, give it a quick rinse and dry it before recycling.","If it is too oily or hard to clean, use general waste.",Preparation,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F005,what if oily; greasy container; dirty container; food stained,What if the plastic container is oily or food-stained?,Do not recycle it unless it can be cleaned easily.,"Oily, greasy and food-stained containers should not go into the plastics-only bin. If a quick rinse can make it clean and dry, recycle it after cleaning. If it needs too much washing or remains greasy, use general waste.",Ask facilities if many dirty containers are contaminating the bin.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F006,cap on or off; plastic cap; bottle cap; remove cap,Should I remove the bottle cap?,"For plastic bottles, keep the plastic cap on after emptying.","If the cap is plastic, screw it back onto the empty, clean and dry bottle. Loose small caps can be difficult to recover.","If the cap is metal or mixed material, keep it out of the plastics-only bin.",Plastic bottles,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F007,label remove; remove label; bottle label; sticker label,Do I need to remove labels from plastic bottles?,Usually no.,"For normal plastic bottles, labels usually do not need to be removed. The more important point is that the bottle is empty, clean and dry.",Remove large non-plastic parts if they are easy to separate.,Plastic bottles,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F008,plastic number; resin code; number triangle; recycling symbol; PET HDPE PP,Do the plastic numbers mean it can be recycled?,Not by themselves.,"The number in the triangle is a resin identification code. It helps identify the plastic type, but it does not automatically mean the item is accepted. Use the item type, site signage and condition: plastic, empty, clean and dry.","Tell me the item type, not just the number, for a better answer.",Plastic resin types,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F009,BCRS; deposit mark; return right; 10 cent refund; refund container,What should I do with a drink bottle that has a BCRS Deposit Mark?,Return it to a Return Right RVM if you want the refund.,"For bottles with the BCRS Deposit Mark, return the empty, uncrushed container to a Return Right RVM to receive the 10¢ refund. If you are not claiming the refund and your site allows it, the plastic bottle still needs to be empty, clean and dry before going into the plastics-only bin.",Metal cans with deposit marks should not go into this plastics-only bin.,Beverage container return scheme,https://www.nea.gov.sg/our-services/waste-management/beverage-container-return-scheme/for-consumers
F010,paper; cardboard; magazine; can paper go here,Can paper or cardboard go into this bin?,No. This bin is plastics-only.,"Paper and cardboard may be recyclable in other streams, but they should not go into this plastics-only bin. Keep this bin clean for eligible plastic items only.",Use the paper recycling stream or blue bin if appropriate for your site.,Non-plastic items,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F011,metal; aluminium; aluminum; can; tin can,Can metal cans go into this bin?,No. Use a metal recycling stream instead.,"Metal cans may be recyclable, but they are not plastic. Do not place them in the plastics-only bin.","If the can has a BCRS Deposit Mark, use a Return Right RVM for the refund.",Non-plastic items,https://www.nea.gov.sg/our-services/waste-management/beverage-container-return-scheme/for-consumers
F012,glass; glass bottle; glass jar,Can glass go into this bin?,No. Glass is not plastic.,Glass bottles and jars do not belong in the plastics-only bin. Use the correct glass recycling stream or blue bin if your site allows it.,"If broken, handle safely and report if there is a safety risk.",Non-plastic items,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F013,styrofoam; polystyrene; foam; foam box,Can styrofoam go into this bin?,No.,"Styrofoam, polystyrene, foam food boxes, foam cups, cooler boxes and packing peanuts should not go into the plastics-only bin.",Use general waste unless your site has a dedicated foam collection.,Non-accepted plastics,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F014,soft plastic; plastic bag; bubble wrap; film,Can soft plastics go into this bin?,Only if your site accepts soft plastics.,"Soft plastics such as bags, bubble wrap and film are plastic, but not every plastics-only bin accepts them. Recycle them only if the bin signage or facilities team confirms soft plastics are accepted. They must still be empty, clean and dry.","If unsure, ask facilities instead of contaminating the bin.",Soft plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F015,compostable; biodegradable; PLA; plant based plastic,Can compostable or biodegradable plastics go into this bin?,No.,Compostable and biodegradable plastics should not go into this plastics-only recycling stream because they can contaminate conventional plastic recycling.,Use general waste unless a dedicated compostable packaging stream is available.,Compostable packaging,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F016,e-waste; battery; charger; cable; electronic,Can e-waste go into this bin?,No. Use e-waste recycling.,"E-waste, batteries, cables, chargers and electronic items must not go into the plastics-only bin. Use dedicated e-waste recycling points or ask facilities.",Report batteries or e-waste found in the plastics-only bin.,E-waste,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F017,food waste; leftover food; can food go here,Can food waste go into this bin?,No.,"Food waste contaminates the plastics-only recycling stream. Do not place leftover food, fruit peels, tea leaves, coffee grounds or meal waste into this bin.","Use food waste collection if available, or general waste.",Food waste,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F018,liquid; leftover drink; drink inside; half full,What if there is liquid inside the bottle or cup?,Empty it first.,"Do not place liquid-filled bottles or cups into the plastics-only bin. Empty the liquid, rinse if sticky, dry the item, and only recycle it if it is accepted plastic.",Report leaking bottles or liquid contamination.,Liquids,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F019,takeaway container; food container; lunch box,Can takeaway plastic containers go into this bin?,Only if clean and dry.,"Takeaway plastic containers can go into the plastics-only bin only when all food, sauce and oil are removed and the container is dry.","If it is greasy or hard to clean, use general waste.",Food packaging,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F020,bubble tea cup; drink cup; plastic cup,Can bubble tea cups or plastic drink cups go into this bin?,"Only if empty, clean and dry.","Plastic drink cups can be recycled only if all liquid, ice, pearls, toppings and residue are removed. The cup must be clean and dry.",Straws and food-contaminated lids should go to general waste.,Plastic cups,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F021,what is contamination; bin contamination; contaminated recycling,What counts as contamination?,Anything that makes the plastics stream dirty or mixed.,"Contamination includes food, liquids, tissue, PPE, e-waste, batteries, paper, metal, glass, styrofoam, bagged rubbish, and dirty or greasy plastic items.",Use the report form if the bin is contaminated.,Contamination,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F022,report issue; full bin; overflowing; bin damaged; missing bin,How do I report a bin issue?,Use the report issue form.,"If the bin is full, damaged, missing, leaking, contaminated, or blocked, use the report issue form so facilities or sustainability teams can follow up.",Click 'Report bin issue' on the website.,Reporting,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F023,blue bin; general recycling bin; same as blue bin,Is this the same as the general blue recycling bin?,No. This is stricter.,"Singapore’s blue recycling bins are for commingled recyclables such as paper, metal, plastic and glass, but this office bin is plastics-only. For this bin, keep non-plastic recyclables out.","Ask facilities where paper, metal and glass should go onsite.",Bin type,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F024,can I put all plastics; all plastic accepted; every plastic,Can all plastic items go into this bin?,No.,"Not all plastic items are suitable for recycling. This bin is for eligible plastic items, usually clean packaging such as bottles and containers. Keep dirty, greasy, tiny, mixed-material, foam, PPE, toys and electronics out.",Ask about the specific item for a clearer answer.,General rules,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F025,why not recycle everything; wishcycle; wishcycling,Why not place doubtful items in the bin just in case?,Because wrong items can contaminate the bin.,"Putting uncertain items into recycling is wishcycling. It can contaminate the bin, create sorting problems, and cause otherwise recyclable plastics to be treated as waste.","When unsure, ask or use general waste.",Behaviour,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F026,how to answer; decision rule; quick check; four checks,What is the quickest decision rule?,"Plastic, empty, clean, dry.","Use the four checks: Is it plastic? Is it empty? Is it clean? Is it dry? If any answer is no, do not put it into this plastics-only bin yet.","For mixed materials, ask facilities.",Decision rule,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
F027,recycle bottle with label; label on bottle,Can I recycle a bottle with the label still on?,"Yes, usually.","A label on a plastic bottle usually does not stop recycling. The bottle should still be empty, clean and dry.",Remove large non-plastic attachments if easy.,Plastic bottles,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F028,crush bottle; flatten bottle; should I crush,Should I crush or flatten plastic bottles?,Flatten if suitable for your bin; do not crush BCRS bottles if claiming refund.,"Flattening can save bin space for normal plastics-only collection if your site allows it. However, if the bottle has a BCRS Deposit Mark and you want the refund, keep it uncrushed for the Return Right RVM.",Follow the bin signage first.,Plastic bottles,https://www.nea.gov.sg/our-services/waste-management/beverage-container-return-scheme/for-consumers
F029,small plastics; small items; loose caps; tiny plastic,Can small plastic items go in?,Usually no unless attached to a larger item.,"Small plastic items such as straws, stirrers, loose tags and small wrappers are hard to sort and should not go into the bin. Keep plastic caps attached to bottles where possible.",Use general waste for loose tiny plastics.,Small plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F030,mixed material; cannot separate; paper and plastic; foil and plastic,What if the item is mixed material?,Do not use this bin unless the plastic part can be separated.,"Mixed-material items should not go into the plastics-only bin. If you can separate a clean plastic part, recycle only that part if accepted. If not, use general waste.",Foil-lined wrappers and cartons should stay out.,Mixed materials,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
F031,office pantry; pantry recycling; staff recycling; office recycling,What should staff remember for pantry recycling?,"Empty, rinse and dry plastics before recycling.","For pantry waste, the biggest issue is contamination from drinks, sauces, food, tissue and takeaway waste. Only place eligible plastic items in the plastics-only bin after they are empty, clean and dry.",Report contamination if it keeps happening.,Office use,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
