rule_id,item_keywords,accepted_in_plastic_only_bin,answer_title,chatbot_response,preparation_steps,redirect_if_not_accepted,escalation_trigger,category,confidence,source_url
P001,green tea bottle; tea bottle; plastic tea bottle; plastic green tea bottle; drink bottle; beverage bottle; plastic drink bottle; plastic beverage bottle; PET bottle; water bottle; soft drink bottle; isotonic drink bottle; juice bottle; bottle,yes,Yes — if it is a plastic drink bottle,"A plastic green tea or drink bottle can go into the plastics-only bin if it is empty, clean and dry.",Empty all liquid. Give it a quick rinse if sticky. Let it dry. Flatten only if your bin sign allows it. Put the plastic cap back on.,"If it still contains liquid or tea residue, empty and rinse it first. If it is a glass bottle or metal can, do not use this plastics-only bin.","If the bottle is leaking, smells, or has mould/unknown residue, use general waste or ask facilities.",Plastic bottles,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P002,mineral water bottle; plain water bottle; bottled water; plastic water bottle; disposable water bottle,yes,Yes — plastic water bottles are accepted,"Plastic water bottles are accepted in the plastics-only bin when empty, clean and dry.",Empty remaining water. Put the plastic cap back on. Flatten if suitable.,"If the bottle has non-plastic attachments or is heavily contaminated, remove what you can or use general waste.",Report if the bin is full of liquid-filled bottles.,Plastic bottles,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P003,BCRS bottle; deposit mark bottle; return right bottle; 10 cent deposit bottle; 10 cents deposit bottle; deposit plastic bottle; refund bottle,conditional,Conditional — use Return Right if it has a deposit mark,"If the plastic beverage bottle has the BCRS Deposit Mark, return it to a Return Right RVM if you want the 10¢ refund. If it is being placed in this plastics-only bin, it still needs to be empty, clean and dry.","For RVM refund, keep the container empty and uncrushed. For the plastics-only bin, follow the bin rules and make sure it is empty, clean and dry.","If it is a metal can with a deposit mark, do not put it in this plastics-only bin. Use a Return Right RVM or the correct metal recycling stream.",Ask facilities if your site has a separate BCRS collection point.,Beverage container return scheme,High,https://www.nea.gov.sg/our-services/waste-management/beverage-container-return-scheme/for-consumers
P004,plastic bottle cap; bottle cap; plastic cap; cap from bottle; screw cap; drink cap,yes,Yes — plastic bottle caps can stay on plastic bottles,Plastic caps can be recycled with the plastic bottle. Keeping the cap on after emptying the bottle helps prevent loose small items from being lost.,"Empty the bottle first. If the cap is plastic, screw it back on.","If the cap is metal, rubber, or mixed material, keep it out of this plastics-only bin.","If many loose caps are scattered around the bin, report contamination or housekeeping issue.",Plastic bottle parts,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P005,plastic bottle label; bottle label; shrink label; plastic label; drink bottle label,yes,Yes — labels can usually stay on,Labels on plastic drink bottles do not usually need to be removed for normal recycling guidance.,"Empty, rinse and dry the bottle. Leave the label on unless your bin sign says otherwise.","If the label is covered with food, oil or unknown residue, clean it or use general waste.",,Plastic bottle parts,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P006,shampoo bottle; soap bottle; body wash bottle; detergent bottle; laundry detergent bottle; cleaning product bottle; hand soap bottle; dish soap bottle,yes,Yes — plastic hygiene and detergent bottles are accepted,"Plastic shampoo, soap, detergent and cleaning bottles can go into the plastics-only bin if they are empty, clean and dry.",Empty the bottle. Rinse away leftover soap or detergent. Let it dry. Keep the plastic cap on.,"If it still contains product, empty it first. If it held hazardous chemicals, do not use this bin.","For chemical containers, ask facilities before disposal.",Plastic bottles,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P007,pump bottle; pump dispenser bottle; lotion pump bottle; soap pump bottle; spray pump bottle,conditional,"Conditional — bottle yes, mixed pump may be no","The plastic bottle is usually accepted if empty, clean and dry. The pump may contain metal springs or mixed materials, so remove it if possible.",Empty and rinse the bottle. Remove the pump if it is mixed material. Recycle the plastic bottle only.,Put the mixed pump in general waste unless your recycler accepts it.,Ask facilities if many pump parts are being placed in the bin.,Plastic bottles,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P008,plastic container; food container; takeaway container; takeout container; lunch box container; plastic lunch box; clear food container; meal container,conditional,Conditional — only if clean and not greasy,"A plastic food or takeaway container can only go into the plastics-only bin if it is empty, clean, dry and not oily or greasy.",Remove food. Rinse off sauce or residue. Dry it before recycling.,"If it is oily, greasy, stained with food, or needs too much washing, use general waste.","If food waste is found in the bin, report contamination.",Plastic food containers,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P009,salad container; fruit box; fruit punnet; berry box; clear plastic box; plastic produce box; clamshell container; egg tray plastic,yes,Yes — clean clear plastic boxes are accepted,"Clean plastic fruit boxes, salad containers, egg trays and clamshell containers can go into the plastics-only bin if empty, clean and dry.","Remove food scraps, stickers where practical, absorbent pads and liquid. Rinse if sticky and dry.","If it is made of foam, paper, cardboard, or is greasy, do not use this bin.",,Plastic trays and boxes,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P010,yoghurt cup; yogurt cup; pudding cup; jelly cup; dessert cup; plastic dessert cup,conditional,Conditional — only if fully clean,"Plastic yoghurt, pudding or dessert cups are only accepted if all food residue is removed and the cup is dry.",Scrape out food residue. Rinse the cup. Let it dry.,"If the cup is sticky, oily, or still has dairy/food residue, use general waste.",Report if food-stained cups are repeatedly contaminating the bin.,Plastic cups,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P011,plastic cup; cold drink cup; iced drink cup; bubble tea cup; takeaway drink cup; smoothie cup; plastic coffee cup,conditional,Conditional — only the clean plastic cup,"A plastic drink cup can go into the plastics-only bin only if it is empty, clean and dry.",Empty ice and liquid. Remove straw and food residue. Rinse if sticky. Dry before recycling.,"If it contains liquid, pearls, toppings, whipped cream, paper sleeve, or food residue, use general waste after emptying.",Report if many cups with liquid are placed in the bin.,Plastic cups,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P012,plastic lid; cup lid; clear plastic lid; takeaway lid; bubble tea lid; drink lid,conditional,Conditional — plastic lids only,"Plastic lids can go into the plastics-only bin if they are clean and dry. Small loose lids may be missed during sorting, so follow your bin signage if it says to keep lids attached.",Rinse if sticky. Dry. Keep with the matching plastic cup/container where possible.,"If the lid is paper, foil, compostable material, or contaminated with food, do not use this bin.",,Plastic lids,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P013,plastic bag; shopping bag; grocery bag; carrier bag; bread bag; clean plastic bag; poly bag,conditional,Conditional — clean soft plastic only if your bin accepts film,"Clean plastic bags are plastic, but some plastics-only bins are designed mainly for bottles and containers. Recycle them only if your site’s bin signage accepts soft plastics or film.","Empty the bag. Remove receipts, food and liquid. Keep it clean and dry.","If dirty, wet, greasy or used for food waste, use general waste. If your bin signage excludes soft plastics, do not place it here.",Ask facilities to confirm whether this plastics-only bin accepts soft plastics.,Soft plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P014,bubble wrap; air pillow; plastic air pillow; plastic packaging film; stretch wrap; cling wrap packaging; shrink wrap,conditional,Conditional — only if clean and accepted by site,"Bubble wrap, air pillows and plastic film are soft plastics. They should only go into this plastics-only bin if the site accepts soft plastics.","Remove tape, paper labels and food residue. Deflate air pillows if practical. Keep clean and dry.","If dirty, oily, wet, or mixed with paper/foil, use general waste.",Ask facilities if soft plastics are causing collection issues.,Soft plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P015,ziplock bag; zip lock bag; zip bag; resealable bag; freezer bag,conditional,Conditional — only if clean and dry,A clean ziplock or resealable plastic bag may be accepted only if your plastics-only bin accepts soft plastics.,"Remove food crumbs, liquid and labels. Rinse and dry if needed.","If used for oily food, raw food, medicine, chemicals, or wet items, use general waste.",,Soft plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P016,plastic wrapper; snack wrapper; sweet wrapper; candy wrapper; biscuit wrapper; chocolate wrapper; wrapper,no,No — most wrappers are not accepted,"Most snack, candy and biscuit wrappers are not suitable for this plastics-only recycling bin because they are often small, multi-layered, foil-lined or contaminated.",,Use general waste. Choose larger recyclable packaging or reusable containers where possible.,,Flexible packaging,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P017,chip bag; chips bag; potato chip bag; foil packet; foil lined packet; foil packaging; metallic wrapper,no,No — foil-lined packaging does not belong here,"Foil-lined snack bags and metallic wrappers are mixed-material packaging, so they should not go into the plastics-only bin.",,Use general waste unless there is a dedicated programme for that packaging.,,Flexible packaging,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P018,sachet; sauce sachet; ketchup sachet; chilli packet; condiment packet; instant coffee sachet; tea sachet; 3 in 1 sachet,no,No — sachets are not accepted,"Small sachets are usually multi-layered and often contain food residue, so they should not go into the plastics-only bin.",,Use general waste.,,Flexible packaging,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P019,straw; plastic straw; drinking straw,no,No — straws are too small and easily contaminated,"Plastic straws should not go into this plastics-only bin because they are small, often contaminated, and difficult to sort.",,Use general waste. Reduce by skipping straws where possible.,,Small plastics,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P020,plastic cutlery; fork; spoon; knife; plastic fork; plastic spoon; disposable cutlery; plastic utensil,no,No — disposable cutlery should not go here,"Disposable plastic cutlery is usually too small, low-value, and often food-contaminated. Do not place it in the plastics-only bin.",,Use general waste. Consider reusable cutlery for future meals.,,Small plastics,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P021,stirrer; coffee stirrer; plastic stirrer; toothpick wrapper,no,No — small plastic stirrers are not accepted,Small plastic stirrers are difficult to sort and should not go into the plastics-only bin.,,Use general waste.,,Small plastics,High,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P022,plastic plate; disposable plastic plate; party plate; plastic bowl; disposable bowl,conditional,"Conditional — only if rigid, clean and dry","Rigid plastic plates or bowls can only be recycled if they are empty, clean and dry. Food-stained disposable tableware should not go in.",Remove all food. Rinse if needed. Dry before recycling.,"If greasy, oily, stained or still holding food, use general waste.",Report food contamination if repeated.,Plastic tableware,High,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
